id,satisfaction,intention_achat,prix_percu,plaisir,naturalite,confiance,ancrage_local,usage_numerique,sensibilite_env,attention_prix,contrainte_temps,cuisine_maison,lecture_labels,achat_local,ouverture_innovation,usage_appli_alim,preoccupation_sante,autonomie_alimentaire,confiance_labels,type_produit,budget_contraint,sexe,age_classe,lieu_achat,profil_alim,commentaire
39,4.7,6.5,6.6,4.5,6.1,8.5,7.2,5.9,6.1,8.3,8.8,5.1,5.4,5.6,7.8,4.2,3.9,5.2,4.0,local,moyen,homme,26-40,marche,intermediaire,"J'aime découvrir de nouveaux produits et comparer les informations. Je compare plusieurs critères avant de décider. Pour ce type de produit, j'attends surtout une information claire."
40,5.3,4.0,6.9,5.9,6.8,7.6,3.7,6.8,5.6,5.1,7.2,9,5.6,8.2,6.4,1.6,5.4,4.8,7.4,standard,moyen,femme,18-25,supermarche,pragmatique,"Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. Je choisis d'abord ce qui est accessible et facile. Dans mes achats, je fais attention à la qualité."
41,7.2,6.9,5.6,8.4,7.0,8.8,4.1,2.6,2.9,4.7,7.0,8.7,4.9,5.4,2.8,3.3,4.0,5.3,6.3,local,moyen,femme,60+,magasin_bio,pragmatique,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. Je ne veux pas que cela complique mes courses. Je peux changer d'avis si le prix reste acceptable."
42,5.9,6.5,3.8,6.6,5.6,8.9,5.3,4.7,5.3,6.0,4.5,5.9,8.1,8.2,5.6,1,5.7,4.7,6.7,standard,moyen,homme,41-60,magasin_bio,intermediaire,"Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. J'ai besoin d'informations simples pour me faire une opinion. Pour ce type de produit, j'attends surtout une vraie cohérence."
43,5.0,5.4,6.6,6.1,6.6,8.9,6.2,4.9,8.2,5.5,5.9,9,7.2,6.2,5.0,2.7,5.9,3.9,6.1,bio,moyen,homme,41-60,magasin_bio,intermediaire,"Je privilégie les produits locaux et les circuits courts. Je peux être intéressé si je suis suffisamment rassuré. Dans mes achats, je fais attention à la santé."
44,5.1,4.9,7.6,7.3,7.3,3.2,5.0,6.5,5.5,5.7,5.6,8.0,5.7,7.4,4.3,2.4,4.6,6.8,6.0,bio,moyen,homme,26-40,marche,pragmatique,"Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. Mais le prix reste un critère important. Pour ce type de produit, j'attends surtout une promesse crédible."
45,7.2,7.8,2.5,5.3,6.6,8.6,5.7,3.1,7.0,7.5,2.1,4.2,6.4,5.8,5.6,5.4,7.2,3.0,4.9,standard,moyen,homme,26-40,drive,engage,"Les promesses responsables sont intéressantes, mais je reste attentif au coût. La dimension environnementale compte aussi dans ma décision. Dans mes achats, je fais attention à l'origine."
46,5.8,5.3,3.8,4.7,7.6,7.7,5.2,3.1,5.6,8.4,7.0,6.9,7.4,8.0,7.2,1.1,9,9.0,4.9,bio,moyen,femme,41-60,marche,intermediaire,Je privilégie les produits locaux et les circuits courts. Je compare plusieurs critères avant de décider. Je peux changer d'avis si l'origine est bien expliquée.
47,5.3,4.8,6.6,6.9,4.6,4.8,5.5,4.8,5.8,4.5,6.1,5.2,5.5,4.9,6.9,6.1,4.5,3.2,5.3,standard,moyen,femme,60+,marche,pragmatique,"J'utilise volontiers des applications ou des avis pour m'aider à choisir. Je peux être intéressé si l'effort demandé reste limité. Pour ce type de produit, j'attends surtout une information claire."
48,3.0,2.1,8.7,2.7,6.1,6.6,7.5,7.2,8.4,5.5,4.3,3.6,4.8,3.9,4.7,5.4,5.9,5.2,8.0,bio,moyen,femme,41-60,magasin_bio,intermediaire,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. Je compare plusieurs critères avant de décider. Pour ce type de produit, j'attends surtout un produit facile à trouver."
49,4.8,5.9,5.0,3.6,8.4,7.1,9,5.6,8.1,7.3,6.4,8.0,5.7,8.5,6.9,5.6,6.6,6.1,5.2,local,faible,femme,41-60,producteur,engage,"L'origine du produit et la saisonnalité sont importantes pour moi. La dimension environnementale compte aussi dans ma décision. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
50,3.3,2.7,6.2,5.2,3.5,3.8,3.7,6.6,4.3,5.9,5.3,3.8,3.2,4.6,5.5,8.5,4.5,6.6,5.5,standard,moyen,homme,26-40,drive,pragmatique,"J'aime découvrir de nouveaux produits et comparer les informations. Je ne veux pas que cela complique mes courses. Au quotidien, le temps disponible influence beaucoup mes choix."
51,6.7,5.8,4.2,5.5,8.9,8.7,5.8,8.7,9,6.5,6.5,5.9,5.0,2.1,3.9,3.9,6.7,3.3,5.1,local,faible,homme,18-25,magasin_bio,engage,"Je veux bien changer mes habitudes, mais seulement si cela reste simple. Je cherche une alimentation plus responsable. Pour ce type de produit, j'attends surtout un produit facile à trouver."
52,4.9,5.2,8.0,5.8,8.4,8.7,6.5,2.7,7.7,7.1,4.9,5.2,6.7,4.2,7.0,6.6,5.8,6.2,6.8,local,faible,homme,26-40,marche,engage,Je privilégie les produits locaux et les circuits courts. L'engagement du produit doit être crédible et concret. Je peux changer d'avis si les labels sont compréhensibles.
53,4.1,3.6,6.4,6.2,4.2,7.1,3.7,5.6,1,6.3,5.3,3.8,6.6,4.5,6.2,6.1,5.2,4.9,8.2,standard,moyen,homme,18-25,supermarche,pragmatique,"Je peux changer mes habitudes si le produit me convainc. Mais le prix reste un critère important. Dans mes achats, je fais attention à la confiance."
54,7.6,9,6.4,8.0,9,9,5.4,6.9,5.6,5.1,5.1,3.4,7.9,8.6,7.0,4.4,7.0,4.8,7.7,local,moyen,homme,18-25,magasin_bio,intermediaire,"Je recherche une alimentation plus responsable et plus transparente. Je peux être intéressé si je suis suffisamment rassuré. Au quotidien, le budget influence beaucoup mes choix."
55,6.1,6.2,5.5,6.1,7.3,7.9,4.2,6.7,5.3,4.0,6.8,7.6,5.5,9.0,3.9,2.5,7.8,5.5,3.1,standard,faible,femme,60+,marche,pragmatique,"Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. Je peux être intéressé si l'effort demandé reste limité. Dans mes achats, je fais attention à le prix."
56,3.3,1,3.0,5.7,3.3,3.8,3.1,3.7,5.4,7.0,5.4,2.5,6.3,4.2,3.0,6.1,5.2,2.5,6.7,standard,faible,femme,26-40,supermarche,pragmatique,"Les promesses responsables sont intéressantes, mais je reste attentif au coût. Je peux être intéressé si l'effort demandé reste limité. Au quotidien, la clarté des informations influence beaucoup mes choix."
57,5.4,3.3,5.7,6.2,5.5,4.6,2.1,5.8,7.6,9,7.2,6.2,6.6,4.1,3.7,4.7,2.9,3.9,5.0,standard,fort,homme,41-60,drive,pragmatique,"Je n'ai pas toujours le temps de comparer les labels ou l'origine. Mais le prix reste un critère important. Au quotidien, la clarté des informations influence beaucoup mes choix."
58,7.7,5.8,6.4,3.7,8.9,7.9,7.1,7.6,8.0,7.5,4.8,3.8,3.4,4.5,2.8,4.9,5.1,6.1,4.9,local,moyen,femme,41-60,supermarche,engage,"Je veux bien changer mes habitudes, mais seulement si cela reste simple. Je valorise la transparence et la qualité des informations. Dans mes achats, je fais attention à l'origine."
59,6.5,3.7,7.1,6.6,7.6,7.4,7.1,5.6,6.4,6.9,7.3,4.1,6.1,3.0,2.5,4.6,5.9,4.0,6.7,local,moyen,homme,26-40,supermarche,intermediaire,"Je n'ai pas toujours le temps de comparer les labels ou l'origine. Je peux être intéressé si je suis suffisamment rassuré. Au quotidien, le budget influence beaucoup mes choix."
60,7.2,7.7,4.0,8.4,5.8,8.5,4.4,9,5.6,7.2,8.9,6.1,6.5,6.1,5.5,5.7,4.3,1.9,6.4,standard,moyen,homme,18-25,supermarche,intermediaire,"J'aime découvrir de nouveaux produits et comparer les informations. J'ai besoin d'informations simples pour me faire une opinion. Pour ce type de produit, j'attends surtout une vraie cohérence."
61,6.9,6.7,4.5,5.9,4.2,8.0,6.5,4.3,7.3,2.6,4.4,8.2,7.7,4.7,4.5,5.3,5.2,4.8,6.4,local,moyen,femme,26-40,drive,intermediaire,"Je peux changer mes habitudes si le produit me convainc. J'ai besoin d'informations simples pour me faire une opinion. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
62,2.9,4.3,5.5,5.6,5.2,7.7,6.5,3.4,6.7,6.2,5.8,5.7,5.8,9,5.4,4.0,5.6,1.9,2.8,standard,moyen,femme,41-60,magasin_bio,intermediaire,"Je regarde surtout le prix et le côté pratique. J'hésite encore selon le prix et la disponibilité. Au quotidien, la clarté des informations influence beaucoup mes choix."
63,6.1,5.3,6.6,7.6,5.9,5.1,5.4,6.9,3.3,3.5,5.7,4.6,6.3,4.8,1.8,3.4,6.5,5.3,6.2,standard,faible,femme,18-25,marche,pragmatique,Je recherche une alimentation plus responsable et plus transparente. Mais le prix reste un critère important. Je peux changer d'avis si le produit est facile à acheter.
64,4.9,4.4,7.8,7.2,4.4,6.3,6.1,6.8,6.6,4.7,3.7,6.4,5.8,4.7,5.7,6.2,5.7,5.8,4.8,standard,moyen,homme,41-60,marche,pragmatique,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. Mais le prix reste un critère important. Dans mes achats, je fais attention à la praticité."
65,6.9,6.6,5.3,5.9,8.0,9,6.0,4.9,8.3,4.1,4.0,6.7,3.6,4.5,6.0,4.2,5.3,8.5,5.4,local,moyen,femme,26-40,magasin_bio,engage,Je recherche une alimentation plus responsable et plus transparente. La dimension environnementale compte aussi dans ma décision. Je peux changer d'avis si l'origine est bien expliquée.
66,3.6,2.6,5.8,5.8,6.1,4.6,5.5,4.0,5.4,4.4,6.3,4.8,6.8,5.0,5.1,3.7,7.2,5.7,3.8,standard,fort,homme,41-60,supermarche,pragmatique,"Le produit peut m'intéresser si le rapport qualité-prix est bon. Je peux être intéressé si l'effort demandé reste limité. Pour ce type de produit, j'attends surtout une promesse crédible."
67,5.5,5.7,6.1,7.6,6.4,7.6,6.7,5.4,9,3.9,5.9,4.7,4.4,4.0,4.3,9,5.5,5.6,6.0,standard,fort,femme,18-25,magasin_bio,engage,"J'utilise volontiers des applications ou des avis pour m'aider à choisir. Je valorise la transparence et la qualité des informations. Pour ce type de produit, j'attends surtout une information claire."
68,5.4,5.6,5.9,3.0,5.5,8.0,8.0,1,9,7.1,4.5,4.9,7.9,6.2,2.5,3.8,7.6,5.8,5.2,local,faible,femme,41-60,marche,engage,"Je recherche une alimentation plus responsable et plus transparente. La dimension environnementale compte aussi dans ma décision. Au quotidien, l'habitude influence beaucoup mes choix."
69,5.1,6.1,5.5,5.5,7.1,4.9,7.8,5.7,8.0,4.6,4.4,5.7,7.0,5.7,4.3,2.9,6.7,7.6,4.8,local,faible,homme,26-40,magasin_bio,engage,"J'aime savoir qui produit et comment le produit a été fabriqué. Je cherche une alimentation plus responsable. Dans mes achats, je fais attention à l'origine."
70,4.8,3.4,7.5,3.8,7.9,6.4,4.1,5.4,5.1,6.1,5.7,5.8,6.0,5.3,4.8,7.0,5.3,3.4,4.4,bio,moyen,femme,26-40,magasin_bio,pragmatique,"L'origine du produit et la saisonnalité sont importantes pour moi. Je choisis d'abord ce qui est accessible et facile. Dans mes achats, je fais attention à le prix."
71,4.6,3.9,7.2,3.1,5.8,6.3,4.9,7.7,5.4,3.6,6.1,5.6,5.1,3.4,8.3,8.4,5.8,6.7,7.2,local,faible,femme,18-25,supermarche,pragmatique,"Je combine plusieurs critères avant de décider. Je ne veux pas que cela complique mes courses. Pour ce type de produit, j'attends surtout une information claire."
72,4.1,5.3,4.4,6.2,8.4,7.3,5.2,5.5,5.4,5.8,4.9,5.6,3.6,8.8,5.0,6.2,7.6,8.3,2.6,standard,moyen,femme,18-25,marche,intermediaire,"Je teste facilement de nouvelles offres quand les informations sont claires. Je peux être intéressé si je suis suffisamment rassuré. Au quotidien, le budget influence beaucoup mes choix."
73,5.3,5.9,6.2,5.7,5.2,9,7.0,6.9,7.6,6.3,6.1,2.8,6.8,5.0,4.5,4.3,6.9,5.4,5.7,standard,moyen,femme,60+,magasin_bio,intermediaire,"Je recherche une alimentation plus responsable et plus transparente. J'ai besoin d'informations simples pour me faire une opinion. Au quotidien, le temps disponible influence beaucoup mes choix."
74,4.8,6.0,3.7,3.7,6.4,9,9,4.2,8.1,6.1,3.0,6.0,6.4,9,4.3,2.2,5.2,5.0,5.2,standard,moyen,femme,41-60,producteur,engage,"Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. Je valorise la transparence et la qualité des informations. Dans mes achats, je fais attention à l'origine."
75,5.8,4.3,6.1,6.7,5.9,7.0,5.8,7.0,8.2,4.5,4.9,4.3,7.1,4.2,5.9,4.5,5.0,6.3,4.0,standard,faible,homme,41-60,producteur,intermediaire,"J'aime savoir qui produit et comment le produit a été fabriqué. Je peux être intéressé si je suis suffisamment rassuré. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
76,5.3,4.2,6.8,3.6,3.8,7.6,4.7,7.6,5.8,7.9,5.8,4.0,5.8,6.3,4.4,6.1,5.3,4.8,5.8,standard,moyen,homme,41-60,supermarche,pragmatique,"Je n'ai pas toujours le temps de comparer les labels ou l'origine. Je peux être intéressé si l'effort demandé reste limité. Dans mes achats, je fais attention à la qualité."
77,5.0,2.3,7.4,6.2,5.5,4.9,5.8,7.0,6.4,5.8,6.7,6.5,6.6,5.2,4.9,4.7,5.1,5.0,4.1,local,moyen,homme,18-25,marche,pragmatique,Je teste facilement de nouvelles offres quand les informations sont claires. Je peux être intéressé si l'effort demandé reste limité. Je peux changer d'avis si l'origine est bien expliquée.
78,4.8,4.7,6.0,4.7,5.8,6.7,6.1,3.1,8.1,6.5,8.2,6.4,7.1,7.5,6.3,5.5,7.8,5.4,6.3,standard,moyen,homme,41-60,producteur,intermediaire,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. Je peux être intéressé si je suis suffisamment rassuré. Je peux changer d'avis si les labels sont compréhensibles."
79,6.4,5.6,5.8,4.7,6.2,8.3,7.1,3.6,7.2,6.9,1.4,6.1,2.7,5.6,5.9,2.5,5.8,6.4,6.1,standard,fort,femme,41-60,magasin_bio,engage,"Je recherche une alimentation plus responsable et plus transparente. L'engagement du produit doit être crédible et concret. Dans mes achats, je fais attention à la praticité."
80,5.3,3.5,5.9,5.9,6.9,7.3,6.6,3.0,7.8,3.8,4.1,6.4,6.3,5.2,9,7.9,4.5,6.0,6.3,bio,moyen,femme,41-60,producteur,engage,"J'aime découvrir de nouveaux produits et comparer les informations. La dimension environnementale compte aussi dans ma décision. Au quotidien, l'habitude influence beaucoup mes choix."
